concept_id,exam,dataset,varname,n_total,n_issues,examples,issue
ASPIRIN_EXAM_DATE,NA,NA,NA,NA,NA,Admin date variable; not recommended for public display. Concept shares variable name E09EXDAT with ANGIOGRAM_EXAM_DATE at Exam E — these may represent the same underlying variable and should be reviewed for deduplication.,enrichment_unpublished
ASPIRIN_INTERVIEWER_ID,NA,NA,NA,NA,NA,Staff identifier; not recommended for public display.,enrichment_unpublished
BIRTHDATE,NA,NA,NA,NA,NA,Birthdate is a quasi-identifier; publishing may raise privacy concerns. Marked false. Two descriptions reference different verification points (last exam vs. exam 2) — may reflect updates across data releases.,enrichment_unpublished
BIRTH_CONTROL_EXAM_DATE,NA,NA,NA,NA,NA,Misclustering/mapping conflict: B09ST_DT is described in raw data as 'DATE LAST STOPPED BCP'S' but is listed here as an exam date variable. The same variable (B09ST_DT and F09ST_DT) appears in BIRTH_CONTROL_STOP_DATE. It is likely that B09ST_DT and F09ST_DT belong to BIRTH_CONTROL_STOP_DATE and should not be in this concept. Recommend verifying whether this concept actually covers only G09CEXDAT (and possibly F09CEXDT) as exam dates.,enrichment_unpublished
BIRTH_CONTROL_INTERVIEWER_ID,NA,NA,NA,NA,NA,,enrichment_unpublished
BIRTH_CONTROL_MED_CODE,NA,NA,NA,NA,NA,Internal medication classification coding variable. Not intended for direct public use.,enrichment_unpublished
BIRTH_CONTROL_STOP_DATE_ALT,NA,NA,NA,NA,NA,Source description is only the variable name 'f09stpdate' with no additional context. Available at Exam F only. Relationship to BIRTH_CONTROL_STOP_DATE and BIRTH_CONTROL_STOP_DATE_COMPONENTS is unclear; potential duplicate or derived variable. Not published due to insufficient documentation.,enrichment_unpublished
BP_MACHINE_ID,NA,NA,NA,NA,NA,Equipment identifier — not published per identifier suppression policy.,enrichment_unpublished
BP_SAME_DATE_F91,NA,NA,NA,NA,NA,Administrative linkage flag; not a clinical or behavioral measurement. Publish set to false.,enrichment_unpublished
CALTRAC_ID,NA,NA,NA,NA,NA,Device identifier — not published.,enrichment_unpublished
CENTER_Y0,NA,NA,NA,NA,NA,Center identifier; publish false as it is an administrative/identifier variable.,enrichment_unpublished
COOK_MEDLEY_CIGMI,NA,NA,NA,NA,NA,"Descriptions are single-character fragments providing no usable content. Variable purpose is ambiguous – could be a derived predictor, a behavioral flag, or an administrative variable. Cannot confirm variable_type with confidence; classified as process_admin pending clarification. Not suitable for publication without further documentation.",enrichment_unpublished
COOK_MEDLEY_ITEM_GRAB_SCORE,NA,NA,NA,NA,NA,"This concept shares variable names (A13SCORE, C13SCORE) with COOK_MEDLEY_TOTAL_SCORE – both map to the same underlying variables and represent a misclustering. This concept should be suppressed in favor of COOK_MEDLEY_TOTAL_SCORE, which carries the more accurate label. The concept_id name ('GRAB_SCORE') appears to be a data entry error. The Exam A source description specifies 'first 50 questions'; the Exam C description says only 'Cook Medley Score' without this qualifier, suggesting possible scope change between exams or a labeling inconsistency.",enrichment_unpublished
CORE_QC_ID,NA,NA,NA,NA,NA,Identifier variable; set to publish=false.,enrichment_unpublished
CREATININE_ASSAY_DATE,NA,NA,NA,NA,NA,Specimen processing/administrative date – not a clinical measurement. Recommend publish=false.,enrichment_unpublished
CREATININE_ASSAY_STATUS,NA,NA,NA,NA,NA,"Value labels not provided; status codes unknown. Suppressed for consistency with other creatinine administrative fields (assay date, collect date, received date). A more interpretable data quality flag (CREATININE_FLAG_QNS) is published separately.",enrichment_unpublished
CREATININE_COLLECT_DATE,NA,NA,NA,NA,NA,Specimen collection date – administrative metadata. Recommend publish=false.,enrichment_unpublished
CREATININE_RECEIVED_DATE,NA,NA,NA,NA,NA,Specimen receipt date – administrative metadata. Recommend publish=false.,enrichment_unpublished
CT_SCAN_DATE,NA,NA,NA,NA,NA,Classified as form administration date; published false per guidelines. Family labeled 'Sleep Questionnaire' but content is CT scan completion — likely misclustered.,enrichment_unpublished
CT_SCAN_EXAM_DATE,NA,NA,NA,NA,NA,Administrative date variable; not recommended for publication.,enrichment_unpublished
CT_TECHNOLOGIST_ID,NA,NA,NA,NA,NA,Staff identifier; published false per guidelines. Family labeled 'Sleep Questionnaire' but content is CT scan completion — likely misclustered.,enrichment_unpublished
DATA_ENTRY_DATE,NA,NA,NA,NA,NA,Administrative metadata; not a participant measurement. Description in source reads 'DATA ENTRY DATA' — possible typo for 'DATE'.,enrichment_unpublished
DATE_DELAYED_OGTT,NA,NA,NA,NA,NA,Exam/visit date variable; set to publish=false.,enrichment_unpublished
DATE_OF_ECHO_EXAM,NA,NA,NA,NA,NA,Form/exam administration date; recommend publish=false per guidelines.,enrichment_unpublished
DATE_OF_EXAM,NA,NA,NA,NA,NA,Form administration date; not published per guidelines. Varnames include G02CEXDAT alongside G02EXDAT for Exam G.,enrichment_unpublished
DATE_OF_EXAM_FORM5,NA,NA,NA,NA,NA,Exam/visit date variable; set to publish=false.,enrichment_unpublished
ECHO_ALERT_DATE,NA,NA,NA,NA,NA,Administrative date field related to echo alert workflow; not a clinical measurement. Marked publish=false.,enrichment_unpublished
ECHO_ALERT_FLAG,NA,NA,NA,NA,NA,"IECHOIND appears in both ECHO_ALERT_FLAG and ECHO_REFERRAL_STATUS — definite duplicate variable assignment requiring curation review. Exam H variable (HECHOALERT) is described as 'ECHO ALERT ISSUED AT INITIAL READING'; Exam I variable (IECHOIND) is described as 'Referral status' and belongs to ECHO_REFERRAL_STATUS. The alert flag is a reading workflow/administrative indicator, not a clinical finding.",enrichment_unpublished
ECHO_ALERT_REASON,NA,NA,NA,NA,NA,,enrichment_unpublished
ECHO_EXAM_DATE,NA,NA,NA,NA,NA,Exam/form administration date; marked publish=false per guidelines.,enrichment_unpublished
ECHO_READER_MAIN,NA,NA,NA,NA,NA,Staff identifier; marked publish=false per guidelines.,enrichment_unpublished
ECHO_READ_DATE,NA,NA,NA,NA,NA,"Administrative date field; marked publish=false. EREADDT appears in both ECHO_READ_DATE (exams C,E,H,I) and ECHO_READ_DATE_SIMPLE (exam E only) — ECHO_READ_DATE_SIMPLE is a duplicate subset of this concept. Recommend removing ECHO_READ_DATE_SIMPLE and consolidating under this concept.",enrichment_unpublished
ECHO_READ_DATE_SIMPLE,NA,NA,NA,NA,NA,"EREADDT is already included in ECHO_READ_DATE (which covers exams C,E,H,I). This concept is a duplicate subset — EREADDT for exam E only. Recommend removing this concept and relying on ECHO_READ_DATE.",enrichment_unpublished
EXAM10_PHASE1_ANCILLARY_DATE,NA,NA,NA,NA,NA,Exam/visit date; marked false per publish guidelines.,enrichment_unpublished
EXAM10_PHASE1_CORE_DATE,NA,NA,NA,NA,NA,Exam/visit date; marked false per publish guidelines.,enrichment_unpublished
EXAM10_PHASE2_ANCILLARY_DATE,NA,NA,NA,NA,NA,Exam/visit date; marked false per publish guidelines.,enrichment_unpublished
EXAM10_PHASE2_CORE_DATE,NA,NA,NA,NA,NA,Exam/visit date; marked false per publish guidelines.,enrichment_unpublished
EXAM1_DATE,NA,NA,NA,NA,NA,Exam date is administrative metadata; marked false per publish guidelines.,enrichment_unpublished
EXAM2_DATE,NA,NA,NA,NA,NA,Exam/visit date; marked false per publish guidelines.,enrichment_unpublished
EXAM2_DATE_ALT,NA,NA,NA,NA,NA,Administrative scheduling or pending date associated with exam 2 tracking. Note: variable name is X3DATE (not X2DATE as expected for an exam 2 variable) — this may indicate a data entry issue or that this variable was stored in the exam 3 dataset while referring to exam 2 scheduling. Possible overlap with EXAM2_DATE; review variable assignment and varname discrepancy.,enrichment_unpublished
EXAM3_DATE,NA,NA,NA,NA,NA,Exam/visit date; marked false per publish guidelines.,enrichment_unpublished
EXAM4_DATE,NA,NA,NA,NA,NA,Exam/visit date; marked false per publish guidelines.,enrichment_unpublished
EXAM4_DATE_ALT,NA,NA,NA,NA,NA,"Administrative scheduling or pending date associated with exam 4 tracking. Variable name is X4DATE, which is consistent with exam 4 (unlike the exam 2 analogue EXAM2_DATE_ALT which uses X3DATE). Possible overlap with EXAM4_DATE; review variable assignment.",enrichment_unpublished
EXAM5_DATE,NA,NA,NA,NA,NA,Form admin date — not published per guidelines.,enrichment_unpublished
EXAM5_DATE_ALT,NA,NA,NA,NA,NA,Scheduling/administrative date — not published per guidelines. Limited source descriptions.,enrichment_unpublished
EXAM6_DATE,NA,NA,NA,NA,NA,Form admin date — not published per guidelines.,enrichment_unpublished
EXAM7_DATE,NA,NA,NA,NA,NA,Form admin date — not published per guidelines.,enrichment_unpublished
EXAM7_DATE_ALT,NA,NA,NA,NA,NA,Scheduling/administrative date — not published per guidelines. Limited source descriptions.,enrichment_unpublished
EXAM7_TARGET_DATE,NA,NA,NA,NA,NA,Scheduling/administrative date — not published per guidelines. Duplicate of EXAM7_TARGET_DATE_INT — both map to X7EXPDT with identical descriptions. Limited source descriptions.,enrichment_unpublished
EXAM7_TARGET_DATE_INT,NA,NA,NA,NA,NA,Scheduling/administrative date — not published per guidelines. Duplicate of EXAM7_TARGET_DATE — both map to X7EXPDT with identical descriptions. Limited source descriptions.,enrichment_unpublished
EXAM7_WINDOW,NA,NA,NA,NA,NA,Duplicate of EXAM7_WINDOW_CODE_INT — both map to X7WINDOW with identical descriptions. Limited source descriptions.,enrichment_unpublished
EXAM7_WINDOW_CODE_INT,NA,NA,NA,NA,NA,Duplicate of EXAM7_WINDOW — both map to X7WINDOW with identical descriptions. Limited source descriptions.,enrichment_unpublished
EXAM8_DATE,NA,NA,NA,NA,NA,Form admin date — not published per guidelines.,enrichment_unpublished
EXAM9_DATE,NA,NA,NA,NA,NA,Form admin date — not published per guidelines.,enrichment_unpublished
EXAM_CENTER_ID,NA,NA,NA,NA,NA,Refers to Year 0 examining center but appears in Exams G and H only. Likely a linkage/administrative variable carried forward from baseline.,enrichment_unpublished
EXAM_DATE,NA,NA,NA,NA,NA,"Current label says 'Carotid ultrasound exam date' but source description says 'EXAM DATE - FORM 49', which is the Self-Efficacy for Eating Behavioral Scale. Label appears to be a mislabeling error — flagged for review.",enrichment_unpublished
EXAM_DATE_F56,NA,NA,NA,NA,NA,Value labels (Strongly agree to Strongly disagree) appear to be incorrectly associated with this date variable — likely a metadata error. Flagged for review.,enrichment_unpublished
EXAM_DATE_F57,NA,NA,NA,NA,NA,Form admin date; not published per guidelines.,enrichment_unpublished
EXAM_DATE_F58,NA,NA,NA,NA,NA,Form admin date; not published per guidelines.,enrichment_unpublished
EXAM_DATE_F59,NA,NA,NA,NA,NA,Form administration date; not published per guidelines.,enrichment_unpublished
EXAM_DATE_F62,NA,NA,NA,NA,NA,,enrichment_unpublished
EXAM_DATE_F88,NA,NA,NA,NA,NA,Form administration date; classified as process_admin and not published per publish guidelines.,enrichment_unpublished
EXAM_DATE_F91,NA,NA,NA,NA,NA,"Administrative exam date; per publish guidelines, form admin dates are publish=false. Note: Exam H and I describe this as a Beverages Questionnaire date; Exam J describes it under the Sedentary Behavior Questionnaire — minor form-label inconsistency across exams.",enrichment_unpublished
EXAM_DATE_FORM12,NA,NA,NA,NA,NA,Administrative exam date variable; not a clinical measurement.,enrichment_unpublished
EXAM_DATE_FORM17,NA,NA,NA,NA,NA,Exam/form administration date – flagged as process_admin per publish guidelines.,enrichment_unpublished
EXAM_DATE_FORM18,NA,NA,NA,NA,NA,Exam/form administration date — excluded from public publish per guidelines.,enrichment_unpublished
EXAM_DATE_FORM18R,NA,NA,NA,NA,NA,Exam/form administration date — excluded from public publish per guidelines.,enrichment_unpublished
EXAM_DATE_FORM20,NA,NA,NA,NA,NA,Form administration date; suppressed from public display per publish guidelines.,enrichment_unpublished
EXAM_DATE_FORM22,NA,NA,NA,NA,NA,Administrative exam date; excluded from public display per publish guidelines.,enrichment_unpublished
EXAM_DATE_FORM3,NA,NA,NA,NA,NA,Form administration date; set publish=false per guidelines for form admin dates/times.,enrichment_unpublished
EXAM_DATE_FORM46,NA,NA,NA,NA,NA,Form administration date — publish set to false per guidelines.,enrichment_unpublished
EXAM_DATE_FORM48,NA,NA,NA,NA,NA,Form administration date; excluded from public display per publish guidelines.,enrichment_unpublished
EXAM_DATE_FORM51,NA,NA,NA,NA,NA,Form administration date; excluded from public publish per guidelines.,enrichment_unpublished
EXAM_DATE_FORM55,NA,NA,NA,NA,NA,Form administration date; not a clinical measurement. Excluded from public display per publish guidelines.,enrichment_unpublished
EXAM_DATE_FORM63,NA,NA,NA,NA,NA,Form administration date; excluded from public display per publish guidelines.,enrichment_unpublished
EXAM_DATE_FORM65,NA,NA,NA,NA,NA,Form administration date; not a clinical measurement. Publish set to false.,enrichment_unpublished
EXAM_DATE_FORM68,NA,NA,NA,NA,NA,Form administration date; excluded from public display per publish guidelines.,enrichment_unpublished
EXAM_DATE_FORM73,NA,NA,NA,NA,NA,Form administration date; excluded from public publish per guidelines.,enrichment_unpublished
EXAM_DATE_FORM80,NA,NA,NA,NA,NA,Form administration date; set to false per publish guidelines.,enrichment_unpublished
FASTING_GLUCOSE_ASSAY_DATE_Y25_VISIT1,NA,NA,NA,NA,NA,Administrative specimen tracking date; not a clinical measurement value. Published false.,enrichment_unpublished
FASTING_GLUCOSE_ASSAY_DATE_Y30_VISIT1,NA,NA,NA,NA,NA,Administrative specimen tracking date; not a clinical measurement value. Published false.,enrichment_unpublished
FASTING_GLUCOSE_ASSAY_STATUS_Y25_VISIT1,NA,NA,NA,NA,NA,Protocol/QC tracking variable. No value labels provided in source data to confirm what status codes mean. Publish false — insufficient information to interpret codes without a codebook; analysts should reference original data documentation.,enrichment_unpublished
FASTING_GLUCOSE_ASSAY_STATUS_Y30_VISIT1,NA,NA,NA,NA,NA,Protocol/QC tracking variable. No value labels provided in source data to confirm what status codes mean. Publish false — insufficient information to interpret codes without a codebook; analysts should reference original data documentation.,enrichment_unpublished
FASTING_GLUCOSE_ASSAY_TYPE_Y25_VISIT1,NA,NA,NA,NA,NA,Lab method classification variable with no value labels provided in source data. Publish false — codes are uninterpretable without a codebook. Analysts should reference original data documentation.,enrichment_unpublished
FASTING_GLUCOSE_ASSAY_TYPE_Y30_VISIT1,NA,NA,NA,NA,NA,Lab method classification variable with no value labels provided in source data. Publish false — codes are uninterpretable without a codebook. Analysts should reference original data documentation.,enrichment_unpublished
FASTING_GLUCOSE_COLLECT_DATE_Y25_VISIT1,NA,NA,NA,NA,NA,Administrative specimen tracking date. Published false.,enrichment_unpublished
FASTING_GLUCOSE_COLLECT_DATE_Y30_VISIT1,NA,NA,NA,NA,NA,Administrative specimen tracking date. Published false.,enrichment_unpublished
FASTING_GLUCOSE_DELAYED_ASSAY_DATE_Y25,NA,NA,NA,NA,NA,Administrative specimen tracking date. Published false.,enrichment_unpublished
FASTING_GLUCOSE_DELAYED_ASSAY_DATE_Y30,NA,NA,NA,NA,NA,Administrative specimen tracking date. Published false.,enrichment_unpublished
FASTING_GLUCOSE_DELAYED_ASSAY_STATUS_Y25,NA,NA,NA,NA,NA,Protocol/QC tracking variable for delayed specimen. No value labels provided in source data. Publish false — codes are uninterpretable without a codebook.,enrichment_unpublished
FASTING_GLUCOSE_DELAYED_ASSAY_STATUS_Y30,NA,NA,NA,NA,NA,Protocol/QC tracking variable for delayed specimen. No value labels provided in source data. Publish false — codes are uninterpretable without a codebook.,enrichment_unpublished
FASTING_GLUCOSE_DELAYED_ASSAY_TYPE_Y25,NA,NA,NA,NA,NA,Lab method classification variable for delayed specimen with no value labels provided in source data. Publish false — codes are uninterpretable without a codebook.,enrichment_unpublished
FASTING_GLUCOSE_DELAYED_ASSAY_TYPE_Y30,NA,NA,NA,NA,NA,Lab method classification variable for delayed specimen with no value labels provided in source data. Publish false — codes are uninterpretable without a codebook.,enrichment_unpublished
FASTING_GLUCOSE_DELAYED_COLLECT_DATE_Y25,NA,NA,NA,NA,NA,Administrative specimen tracking date. Published false.,enrichment_unpublished
FASTING_GLUCOSE_DELAYED_COLLECT_DATE_Y30,NA,NA,NA,NA,NA,Administrative specimen tracking date. Published false.,enrichment_unpublished
FASTING_GLUCOSE_DELAYED_RECEIVED_DATE_Y25,NA,NA,NA,NA,NA,Administrative specimen tracking date. Published false.,enrichment_unpublished
FASTING_GLUCOSE_DELAYED_RECEIVED_DATE_Y30,NA,NA,NA,NA,NA,Administrative specimen tracking date. Published false.,enrichment_unpublished
FASTING_GLUCOSE_RECEIVED_DATE_Y25_VISIT1,NA,NA,NA,NA,NA,Administrative specimen tracking date. Published false.,enrichment_unpublished
FASTING_GLUCOSE_RECEIVED_DATE_Y30_VISIT1,NA,NA,NA,NA,NA,Administrative specimen tracking date. Published false.,enrichment_unpublished
FASTING_INSULIN_ASSAY_DATE_H,NA,NA,NA,NA,NA,Administrative lab process date; publish false.,enrichment_unpublished
FASTING_INSULIN_ASSAY_DATE_I,NA,NA,NA,NA,NA,Administrative lab process date; publish false.,enrichment_unpublished
FASTING_INSULIN_COLLECT_DATE_H,NA,NA,NA,NA,NA,Administrative specimen collection date; publish false.,enrichment_unpublished
FASTING_INSULIN_COLLECT_DATE_I,NA,NA,NA,NA,NA,Administrative specimen collection date; publish false.,enrichment_unpublished
FASTING_INSULIN_RECEIVED_DATE_H,NA,NA,NA,NA,NA,Administrative lab receipt date; publish false.,enrichment_unpublished
FASTING_INSULIN_RECEIVED_DATE_I,NA,NA,NA,NA,NA,Administrative lab receipt date; publish false.,enrichment_unpublished
FIELD_CENTER_RADIOLOGIST_ID,NA,NA,NA,NA,NA,Staff/personnel identifier — not recommended for public release.,enrichment_unpublished
FORM10_EXAM_DATE,NA,NA,NA,NA,NA,Form administration date; not published per guidelines for process/admin variables.,enrichment_unpublished
FORM10_INTERVIEWER_ID,NA,NA,NA,NA,NA,Staff identifier; not published per guidelines.,enrichment_unpublished
FORM11_BP_SAME_DATE,NA,NA,NA,NA,NA,Limited source descriptions; descriptions contain only fragmented characters. This is a data collection process variable.,enrichment_unpublished
FORM11_EXAM_DATE,NA,NA,NA,NA,NA,Exam/form administration date; not a clinical measurement.,enrichment_unpublished
FORM11_INTERVIEWER_ID,NA,NA,NA,NA,NA,Staff identifier; not for public release.,enrichment_unpublished
FORM14B_EXAM_DATE,NA,NA,NA,NA,NA,Administrative date variable; excluded from public display per publish guidelines. Could be considered for data linkage use cases if policy changes.,enrichment_unpublished
FORM14B_INTERVIEWER_ID,NA,NA,NA,NA,NA,Staff identifier; excluded from public display per publish guidelines. Source descriptions are single characters only. Limited source descriptions.,enrichment_unpublished
FORM21_EXAM_DATE,NA,NA,NA,NA,NA,Administrative exam date; publish set to false per guidelines.,enrichment_unpublished
FORM29_EXAM_DATE,NA,NA,NA,NA,NA,Form administration date; not a clinical or survey measurement. Excluded from public display.,enrichment_unpublished
FORM36_INTERVIEWER_ID,NA,NA,NA,NA,NA,,enrichment_unpublished
FORM38_EXAM_DATE,NA,NA,NA,NA,NA,Form administration date; excluded from public display per publish guidelines.,enrichment_unpublished
FORM38_INTERVIEWER_ID,NA,NA,NA,NA,NA,Staff identifier; excluded from public display per publish guidelines.,enrichment_unpublished
FORM44_EXAM_DATE,NA,NA,NA,NA,NA,Form administration date; excluded from public display per publish guidelines.,enrichment_unpublished
FORM50_EXAM_DATE,NA,NA,NA,NA,NA,Form administration date; published false per guidelines.,enrichment_unpublished
FORM67_EXAM_DATE,NA,NA,NA,NA,NA,Form administration date; excluded from public-facing dictionary per publish guidelines. Domain set to Administrative as this is a process/scheduling variable rather than a sleep measurement.,enrichment_unpublished
FORM78_EXAM_DATE,NA,NA,NA,NA,NA,Administrative form date; not published per guidelines.,enrichment_unpublished
FORM78_INTERVIEWER_ID,NA,NA,NA,NA,NA,Staff identifier; not published per guidelines.,enrichment_unpublished
FORM81_EXAM_DATE,NA,NA,NA,NA,NA,Form administration date; not published per guidelines.,enrichment_unpublished
FORM81_INTERVIEWER_ID,NA,NA,NA,NA,NA,Staff identifier; not published per guidelines.,enrichment_unpublished
FORM83_EXAM_DATE,NA,NA,NA,NA,NA,Administrative form date; not a clinical measurement or participant response. Marked publish=false per guidelines.,enrichment_unpublished
FORM85_EXAM_DATE,NA,NA,NA,NA,NA,Form administration date; set to publish=false per guidelines excluding exam dates and form admin metadata.,enrichment_unpublished
FORM85_TECHNICIAN_ID,NA,NA,NA,NA,NA,Staff identifier; set to publish=false per guidelines excluding staff/technician IDs.,enrichment_unpublished
FORM_COMPLETION_DATE,NA,NA,NA,NA,NA,Administrative form completion date; excluded from public display per publish guidelines.,enrichment_unpublished
FORM_EXAM_DATE,NA,NA,NA,NA,NA,Form administration date — not published. Single exam (E) only.,enrichment_unpublished
GENERAL_MED_CLASS_CODES_4,NA,NA,NA,NA,NA,Multiple variables per exam (positions 1–4) are collapsed into this concept. Internal coding artifact assigned by study staff; requires codebook to interpret. Not useful as a standalone published variable.,enrichment_unpublished
GENERAL_MED_CODE,NA,NA,NA,NA,NA,Multiple varnames per exam reflect primary and secondary medication codes. Internal coding artifact; requires codebook to interpret and is not useful as a standalone published variable.,enrichment_unpublished
GENERAL_MED_EXAM_DATE,NA,NA,NA,NA,NA,Admin/form date; not published per guidelines.,enrichment_unpublished
GENERAL_MED_INTERVIEWER_ID,NA,NA,NA,NA,NA,Staff identifier; not published per guidelines.,enrichment_unpublished
GLUCOSE_RECEIVE_DATE_Y20,NA,NA,NA,NA,NA,Specimen handling/administrative date; not a clinical measurement value. Source description is very brief ('RECEIVE DATE').,enrichment_unpublished
HBA1C_ASSAY_DATE,NA,NA,NA,NA,NA,"Assay date is a lab process/administrative date, not a clinical measurement. Publish set to FALSE.",enrichment_unpublished
HBA1C_COLLECT_DATE,NA,NA,NA,NA,NA,Specimen collection date is an administrative/process date. Publish set to FALSE.,enrichment_unpublished
HBA1C_RECEIVED_DATE,NA,NA,NA,NA,NA,Specimen receipt date is an administrative/process date. Publish set to FALSE.,enrichment_unpublished
HEART_MED_EXAM_DATE,NA,NA,NA,NA,NA,"CRITICAL MISLABELING: The concept_id and original label reference 'Exam Date for Heart Medication Form', but the source variable B09HTTUS is described as 'TOTAL DURATION, HEART MED USE, MONTHS' with units in months — this is not a date variable. Label and description corrected to reflect actual content. Additionally, varname B09HTTUS appears to be shared with the concept HEART_MED_TOTAL_MONTHS_USE, making this a likely duplicate. Suppressed (publish:false) pending resolution of the duplicate and mislabeling issues.",enrichment_unpublished
HOSPITALIZATION_MONTH_A,NA,NA,NA,NA,NA,Duplicate of HOSP_DATE_MONTH_A — FY048PMA appears in both concepts. Recommend suppressing this single-exam concept in favor of the multi-exam HOSP_DATE_MONTH_A. Limited source descriptions.,enrichment_unpublished
HOSPITALIZATION_MONTH_B,NA,NA,NA,NA,NA,Duplicate of HOSP_DATE_MONTH_B — FY048PMB appears in both concepts. Recommend suppressing this single-exam concept in favor of the multi-exam HOSP_DATE_MONTH_B. Limited source descriptions.,enrichment_unpublished
HOSPITALIZATION_YEAR_A,NA,NA,NA,NA,NA,Duplicate of HOSP_DATE_YEAR_A — FY048PYA appears in both concepts. Recommend suppressing this single-exam concept in favor of the multi-exam HOSP_DATE_YEAR_A. Limited source descriptions.,enrichment_unpublished
HOSPITALIZATION_YEAR_B,NA,NA,NA,NA,NA,Duplicate of HOSP_DATE_YEAR_B — FY048PYB appears in both concepts. Recommend suppressing this single-exam concept in favor of the multi-exam HOSP_DATE_YEAR_B. Limited source descriptions.,enrichment_unpublished
IGF1_MEASURE_DATE,NA,NA,NA,NA,NA,Administrative date variable; not published per guidelines. Limited source descriptions.,enrichment_unpublished
IL6_DATA_TRANSMIT_DATE,NA,NA,NA,NA,NA,Administrative data transmission date — not a clinical measurement; excluded from public display.,enrichment_unpublished
IL6_MEASURE_DATE,NA,NA,NA,NA,NA,Administrative date variable; not published per guidelines. Limited source descriptions.,enrichment_unpublished
IL6_SAMPLE_RECEIVE_DATE,NA,NA,NA,NA,NA,Administrative specimen handling date — excluded from public display. May be useful internally for assessing sample processing timelines.,enrichment_unpublished
INSULIN_RECEIVE_DATE_G,NA,NA,NA,NA,NA,Administrative lab receipt date; publish false. Source description is minimal ('RECEIVE DATE').,enrichment_unpublished
INTERVIEWER_ID,NA,NA,NA,NA,NA,Staff identifier; not published per guidelines.,enrichment_unpublished
INTERVIEWER_ID_F56,NA,NA,NA,NA,NA,Staff identifier; not suitable for public data dictionary. Collected at exams G and I.,enrichment_unpublished
INTERVIEWER_ID_F62,NA,NA,NA,NA,NA,Staff/interviewer identifier; not a subject-level measurement. Only available at Exam G.,enrichment_unpublished
INTERVIEWER_ID_F91,NA,NA,NA,NA,NA,Staff identifier; publish set to false per identifier guidelines.,enrichment_unpublished
INTERVIEWER_ID_FORM12,NA,NA,NA,NA,NA,Staff identifier; should not be published.,enrichment_unpublished
INTERVIEWER_ID_FORM18,NA,NA,NA,NA,NA,Staff identifier — excluded from public publish per guidelines.,enrichment_unpublished
INTERVIEWER_ID_FORM20,NA,NA,NA,NA,NA,Staff identifier; suppressed from public display per publish guidelines.,enrichment_unpublished
INTERVIEWER_ID_FORM3,NA,NA,NA,NA,NA,"Duplicate of INTERVIEWER_ID — both concepts map to the same variable names (G03IVID, H03IVID, I03IVID, J03IVID). Recommend merging.",enrichment_unpublished
INTERVIEWER_ID_FORM46,NA,NA,NA,NA,NA,Staff identifier — publish set to false per guidelines.,enrichment_unpublished
INTERVIEWER_ID_FORM7,NA,NA,NA,NA,NA,Staff identifier; publish set to false per guidelines.,enrichment_unpublished
INTERVIEW_START_TIME,NA,NA,NA,NA,NA,Form administration metadata. Companion variable INTERVIEW_START_TIME_AM_PM records AM/PM designation.,enrichment_unpublished
